,name,slider,flags,opposites,introduce,cancel,raise,lower,department,prereqs,mincost,maxcost,costfunction,cost multiplier,implementation,minincome,maxincome,incomefunction,incomemultiplier,nationalisation GDP percentage,,,,,,,,,,,,
#,landtax,incometax,MULTIPLYINCOME,,25,14,18,11,TAX,,0,0,0+(1.0*x),,2,325,3650,0+(1.0*x),"GDP,0.75+(0.5*x)",,#Effects,"Equality,0+(0.16*x)","Wealthy,-0.05-(0.26*x)","PrivateHousing,0.01+(0.12*x),4","Socialist,0.04+(0.13*x)","_HighIncome,0-(0.09*x)","GDP,0+(0.015*x)","Farmers,0+(0.09*x)","BrainDrain,0.04+(0.15*x)","MiddleIncome_income,0-(0.04*x)","MiddleIncome,-0.01-(0.05*x)","TaxEvasion,0.25*(x^2),3"
#,tourismtax,tax,,,13,6,14,8,TAX,,0,0,0+(1.0*x),,1,60,1250,0+(1.0*x),"Tourism,0+(1.0*x)",,#Effects,"Tourism,-0.04-(0.3*x)","AirTravel,-0.22*(Tourism*x)","Capitalist,0-(0.08*x)","Patriot,0+(0.065*x)",,,,,,,
#,abroadtax,tax,MULTIPLYINCOME,,13,9,15,12,TAX,,0,0,0+(1.0*x),,1,25,285,0+(1.0*x),"ForeignRelations,0.75+(0.5*x)",,#Effects,"SelfEmployed,0-(0.17*x)","Capitalist,0-(0.12*x)","Patriot,0.02+(0.07*x)",,,,,,,,
#,negativeincometax,default,,,35,28,16,12,TAX,,750,2270,0+(1.0*x),"Poor_perc,0.75+(0.5*x)",1,0,0,0+(1.0*x),,,#Effects,"_LowIncome,0.03+(0.36*x),2","Poor,0.02+(0.32*x)","PovertyRate,-0.08-(0.35*x),2","Equality,0.02+(0.24*x),2","_global_socialism,-0.14*(Poor_perc*x),5","Capitalist,0.15-(0.25*x)","Socialist,-0.05+(0.2*x)","MiddleIncome,-0.03-(0.24*x)",,,
#,jobgurantee,default,,,34,40,20,30,ECONOMY,,795,3750,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Unemployment,-0.055-(0.355*x),5","Socialist,0.045+(0.21*x)","Capitalist,-0.065-(0.235*x)","WorkerProductivity,0-(0.125*x),4","Wages,0+(0.2*x),6","Poor,0+(0.125*x)",,,,,
#,statementalhealth,default,,,17,15,12,13,PUBLICSERVICES,,175,1875,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"WorkerProductivity,0.02+(0.155*x),10","PrivateHealthcare,-0.17*(x^2),4","Alcoholism,-0.18*(x^1.25),10","DrugAddiction,-0.18*(x^1.25),10","Health,0.02+(0.075*x),14","StateEmployees_freq,0.01+(0.055*x)","StateEmployees,0.02+(0.065*x)","Capitalist,-0.035-(0.085*x)","Poor,0.035+(0.115*x)","Socialist,0.03+(0.08*x)",
#,nuclearsanctions,default,,,12,13,13,16,FOREIGNPOLICY,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"NuclearProliferation,-0.25*(GlobalInfluence*x),3","ForeignThreat,0.15*(GlobalInfluence*x)","ActualThreat,0.15*(GlobalInfluence*x)","ForeignRelations,0.125*(x*GlobalInfluence)","Liberal,0.025+(0.065*x)","Patriot,0.025+(0.065*x)",,,,,
#,middleeasttroopsstable,default,,,30,30,26,24,FOREIGNPOLICY,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"MiddleEastChaos,-0.365*(MilitaryPower*x),16","MilitarySpending_cost,0.075+(0.25*x),4","Patriot,-0.045-(0.105*x)","Liberal,0.045+(0.115*x)","ForeignRelations,0.065+(0.215*x),4","GDP,0.055*(MilitaryPower*x),4","ForeignThreat,0.02+(0.1*x),2","ActualThreat,0.02+(0.1*x),2",,,
#,waterconservation,default,,,4,3,4,4,PUBLICSERVICES,,0,450,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.02+(0.05*x)","Watershortage,-0.035-(0.085*x)","Environment,0.015+(0.065*x)",,,,,,,,
#,middleeasttroopssecure,default,,,30,30,26,24,FOREIGNPOLICY,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"MiddleEastChaos,0.165*(MilitaryPower*x),16","MilitarySpending_cost,0.1+(0.3*x),4","Patriot,0.045+(0.125*x)","Liberal,0.025-(0.165*x)","OilPrice,-0.4*(MilitaryPower*x),10","ForeignRelations,0.085-(0.305*x),4","Socialist,-0.075-(0.18*x)","ForeignThreat,0.05+(0.2*x),2","InternationalTrade,0.035+(0.14*x),4","GDP,0.135*(MilitaryPower*x),4","ActualThreat,0.05+(0.2*x),2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,assemblyban,default,,,50,12,40,24,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Democracy,0-(0.35*x)","EnvironmentalProtests,0-(1.25*x)","ImmigrantProtests,0-(1.25*x)","LawEnforcementProtests,0-(1.25*x)","Liberal,-0.1-(0.25*x)","Conservatives,0.1-(0.25*x)",,,,,
,invokeemergency,default,,,65,10,0,0,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Democracy,-2.0-(0*x)","EmergencyPowers,2.0+(0*x)",,,,,,,,,
,secretpolice,default,,,50,16,40,28,LAWANDORDER,,50,550,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Democracy,-0.1-(0.6*x)","_global_liberalism,-0.1-(0.3*x)","Patriot,0.1-(0.2*x)",,,,,,,,
,electiontampering,default,,,60,5,50,8,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Everyone,0.1+(0.4*x)","Democracy,-0.4-(1.3*x)",,,,,,,,,
